transfer_size,src,dst,threads,bandwidth
2048,CPU0,CPU8,1,302287822.88
2048,CPU0,CPU8,1,824476650.56
2048,CPU0,CPU8,1,860142797.14
2048,CPU0,CPU8,1,871860366.11
2048,CPU0,CPU8,1,846980976.01
2048,CPU0,CPU8,1,856545378.50
2048,CPU0,CPU8,1,859781696.05
2048,CPU0,CPU8,1,853689037.10
2048,CPU0,CPU8,1,885430177.26
2048,CPU0,CPU8,1,849792531.12
2048,CPU0,CPU8,1,872603323.39
2048,CPU0,CPU8,1,894713848.84
2048,CPU0,CPU8,1,860865910.05
2048,CPU0,CPU8,1,858700209.64
2048,CPU0,CPU8,1,847682119.21
2048,CPU8,CPU0,1,681757656.46
2048,CPU8,CPU0,1,818872451.02
2048,CPU8,CPU0,1,857262452.91
2048,CPU8,CPU0,1,880481513.33
2048,CPU8,CPU0,1,884283246.98
2048,CPU8,CPU0,1,878969957.08
2048,CPU8,CPU0,1,867429055.48
2048,CPU8,CPU0,1,824808699.15
2048,CPU8,CPU0,1,926277702.40
2048,CPU8,CPU0,1,870748299.32
2048,CPU8,CPU0,1,887348353.55
2048,CPU8,CPU0,1,896672504.38
2048,CPU8,CPU0,1,848384424.19
2048,CPU8,CPU0,1,858700209.64
2048,CPU8,CPU0,1,857262452.91
2048,CPU0,CPU8,2,699453551.91
2048,CPU0,CPU8,2,764179104.48
2048,CPU0,CPU8,2,740419378.16
2048,CPU0,CPU8,2,760207869.34
2048,CPU0,CPU8,2,786784479.45
2048,CPU0,CPU8,2,791956689.87
2048,CPU0,CPU8,2,696598639.46
2048,CPU0,CPU8,2,678145695.36
2048,CPU0,CPU8,2,767041198.50
2048,CPU0,CPU8,2,751835535.98
2048,CPU0,CPU8,2,708895811.70
2048,CPU0,CPU8,2,736955739.47
2048,CPU0,CPU8,2,695888549.10
2048,CPU0,CPU8,2,765893792.07
2048,CPU0,CPU8,2,747445255.47
2048,CPU8,CPU0,2,656199935.92
2048,CPU8,CPU0,2,706938211.94
2048,CPU8,CPU0,2,752941176.47
2048,CPU8,CPU0,2,721126760.56
2048,CPU8,CPU0,2,715333566.19
2048,CPU8,CPU0,2,725212464.59
2048,CPU8,CPU0,2,679045092.84
2048,CPU8,CPU0,2,780785360.27
2048,CPU8,CPU0,2,750733137.83
2048,CPU8,CPU0,2,758237689.74
2048,CPU8,CPU0,2,796267496.11
2048,CPU8,CPU0,2,720365810.76
2048,CPU8,CPU0,2,743105950.65
2048,CPU8,CPU0,2,764464352.37
2048,CPU8,CPU0,2,735368043.09
2048,CPU0,CPU8,4,132719849.65
2048,CPU0,CPU8,4,154624386.56
2048,CPU0,CPU8,4,242223536.37
2048,CPU0,CPU8,4,214832686.46
2048,CPU0,CPU8,4,189244132.32
2048,CPU0,CPU8,4,182255050.28
2048,CPU0,CPU8,4,174654613.68
2048,CPU0,CPU8,4,206618240.52
2048,CPU0,CPU8,4,159800249.69
2048,CPU0,CPU8,4,189594519.53
2048,CPU0,CPU8,4,177254630.43
2048,CPU0,CPU8,4,144837340.88
2048,CPU0,CPU8,4,180123131.05
2048,CPU0,CPU8,4,178210929.34
2048,CPU0,CPU8,4,185071389.84
2048,CPU8,CPU0,4,146369353.92
2048,CPU8,CPU0,4,115640880.86
2048,CPU8,CPU0,4,175477679.72
2048,CPU8,CPU0,4,154135621.28
2048,CPU8,CPU0,4,155398740.42
2048,CPU8,CPU0,4,147158151.90
2048,CPU8,CPU0,4,184321843.22
2048,CPU8,CPU0,4,175613102.38
2048,CPU8,CPU0,4,139557069.85
2048,CPU8,CPU0,4,158158931.19
2048,CPU8,CPU0,4,161743800.35
2048,CPU8,CPU0,4,165856818.92
2048,CPU8,CPU0,4,151356145.15
2048,CPU8,CPU0,4,187494278.13
2048,CPU8,CPU0,4,196998845.71
2048,CPU0,CPU8,8,376753.78
2048,CPU0,CPU8,8,349066.08
2048,CPU0,CPU8,8,289214.64
2048,CPU0,CPU8,8,701334.56
2048,CPU0,CPU8,8,738288.59
2048,CPU0,CPU8,8,134768.90
2048,CPU0,CPU8,8,116121.04
2048,CPU0,CPU8,8,204678.61
2048,CPU0,CPU8,8,437880.79
2048,CPU0,CPU8,8,175733.94
2048,CPU0,CPU8,8,181146.67
2048,CPU0,CPU8,8,176877.51
2048,CPU0,CPU8,8,735752.17
2048,CPU0,CPU8,8,454478.78
2048,CPU0,CPU8,8,179274.45
2048,CPU8,CPU0,8,624996.19
2048,CPU8,CPU0,8,212615.36
2048,CPU8,CPU0,8,8393889.84
2048,CPU8,CPU0,8,475794.87
2048,CPU8,CPU0,8,122392876.35
2048,CPU8,CPU0,8,887813.42
2048,CPU8,CPU0,8,243218.68
2048,CPU8,CPU0,8,131532.63
2048,CPU8,CPU0,8,737105.07
2048,CPU8,CPU0,8,128409304.66
2048,CPU8,CPU0,8,125644171.78
2048,CPU8,CPU0,8,148675136.12
2048,CPU8,CPU0,8,385267.87
2048,CPU8,CPU0,8,581858.02
2048,CPU8,CPU0,8,174078.50
2048,CPU0,CPU8,16,130040.56
2048,CPU0,CPU8,16,155018.79
2048,CPU0,CPU8,16,52651.03
2048,CPU0,CPU8,16,54081.68
2048,CPU0,CPU8,16,232403.26
2048,CPU0,CPU8,16,46415.04
2048,CPU0,CPU8,16,62439.72
2048,CPU0,CPU8,16,143681.07
2048,CPU0,CPU8,16,2986515.47
2048,CPU0,CPU8,16,106968.01
2048,CPU0,CPU8,16,161589.55
2048,CPU0,CPU8,16,229439.25
2048,CPU0,CPU8,16,114330.89
2048,CPU0,CPU8,16,63961.41
2048,CPU0,CPU8,16,739290.93
2048,CPU8,CPU0,16,182823.34
2048,CPU8,CPU0,16,220268.91
2048,CPU8,CPU0,16,122628.82
2048,CPU8,CPU0,16,314590.76
2048,CPU8,CPU0,16,114186.01
2048,CPU8,CPU0,16,116437.61
2048,CPU8,CPU0,16,117179.24
2048,CPU8,CPU0,16,226712.21
2048,CPU8,CPU0,16,124960.48
2048,CPU8,CPU0,16,215141.30
2048,CPU8,CPU0,16,660746.62
2048,CPU8,CPU0,16,386725.79
2048,CPU8,CPU0,16,387243.06
2048,CPU8,CPU0,16,73744.04
2048,CPU8,CPU0,16,503568.01
3072,CPU0,CPU8,1,1118718135.47
3072,CPU0,CPU8,1,1151856018.00
3072,CPU0,CPU8,1,1188854489.16
3072,CPU0,CPU8,1,1165402124.43
3072,CPU0,CPU8,1,1180176719.17
3072,CPU0,CPU8,1,1199063231.85
3072,CPU0,CPU8,1,1139888682.75
3072,CPU0,CPU8,1,1179270633.40
3072,CPU0,CPU8,1,1181993074.26
3072,CPU0,CPU8,1,1162315550.51
3072,CPU0,CPU8,1,1213749506.12
3072,CPU0,CPU8,1,1208972845.34
3072,CPU0,CPU8,1,1212791156.73
3072,CPU0,CPU8,1,1194865810.97
3072,CPU0,CPU8,1,1166729965.82
3072,CPU8,CPU0,1,1188854489.16
3072,CPU8,CPU0,1,1174760994.26
3072,CPU8,CPU0,1,1222443294.87
3072,CPU8,CPU0,1,1159245283.02
3072,CPU8,CPU0,1,1193473193.47
3072,CPU8,CPU0,1,1187935034.80
3072,CPU8,CPU0,1,1235720032.18
3072,CPU8,CPU0,1,1163195759.18
3072,CPU8,CPU0,1,1178365937.86
3072,CPU8,CPU0,1,983040000.00
3072,CPU8,CPU0,1,1187475840.74
3072,CPU8,CPU0,1,1142857142.86
3072,CPU8,CPU0,1,1205178501.37
3072,CPU8,CPU0,1,1187017001.55
3072,CPU8,CPU0,1,1215670755.84
3072,CPU0,CPU8,2,1000651465.80
3072,CPU0,CPU8,2,1094796863.86
3072,CPU0,CPU8,2,1059310344.83
3072,CPU0,CPU8,2,1028112449.80
3072,CPU0,CPU8,2,1087818696.88
3072,CPU0,CPU8,2,1080548716.14
3072,CPU0,CPU8,2,995786061.59
3072,CPU0,CPU8,2,950495049.50
3072,CPU0,CPU8,2,990328820.12
3072,CPU0,CPU8,2,1067778936.39
3072,CPU0,CPU8,2,1070010449.32
3072,CPU0,CPU8,2,1087048832.27
3072,CPU0,CPU8,2,1056396148.56
3072,CPU0,CPU8,2,1092849519.74
3072,CPU0,CPU8,2,1006223386.83
3072,CPU8,CPU0,2,996755353.67
3072,CPU8,CPU0,2,1003921568.63
3072,CPU8,CPU0,2,1077516660.82
3072,CPU8,CPU0,2,1062975778.55
3072,CPU8,CPU0,2,1107426099.50
3072,CPU8,CPU0,2,1124450951.68
3072,CPU8,CPU0,2,978967495.22
3072,CPU8,CPU0,2,1057123193.39
3072,CPU8,CPU0,2,1082452431.29
3072,CPU8,CPU0,2,1013526888.82
3072,CPU8,CPU0,2,1037837837.84
3072,CPU8,CPU0,2,1082833979.56
3072,CPU8,CPU0,2,1068521739.13
3072,CPU8,CPU0,2,1074501573.98
3072,CPU8,CPU0,2,1016209063.84
3072,CPU0,CPU8,4,206423867.76
3072,CPU0,CPU8,4,235944700.46
3072,CPU0,CPU8,4,282638697.21
3072,CPU0,CPU8,4,172778402.70
3072,CPU0,CPU8,4,304550411.42
3072,CPU0,CPU8,4,280932784.64
3072,CPU0,CPU8,4,276906435.91
3072,CPU0,CPU8,4,443482026.85
3072,CPU0,CPU8,4,299327681.96
3072,CPU0,CPU8,4,325182597.65
3072,CPU0,CPU8,4,271618037.14
3072,CPU0,CPU8,4,327121712.28
3072,CPU0,CPU8,4,304429689.82
3072,CPU0,CPU8,4,295725837.50
3072,CPU0,CPU8,4,234934230.65
3072,CPU8,CPU0,4,248122122.61
3072,CPU8,CPU0,4,199636080.06
3072,CPU8,CPU0,4,305793350.59
3072,CPU8,CPU0,4,323436512.95
3072,CPU8,CPU0,4,291267659.05
3072,CPU8,CPU0,4,299619623.52
3072,CPU8,CPU0,4,233558883.90
3072,CPU8,CPU0,4,321338912.13
3072,CPU8,CPU0,4,361667059.10
3072,CPU8,CPU0,4,389600507.29
3072,CPU8,CPU0,4,259700735.48
3072,CPU8,CPU0,4,253339930.73
3072,CPU8,CPU0,4,217532927.35
3072,CPU8,CPU0,4,326600042.53
3072,CPU8,CPU0,4,287022330.19
3072,CPU0,CPU8,8,3295606.93
3072,CPU0,CPU8,8,270610.41
3072,CPU0,CPU8,8,24845524.25
3072,CPU0,CPU8,8,1468367.02
3072,CPU0,CPU8,8,1188429.52
3072,CPU0,CPU8,8,453782.44
3072,CPU0,CPU8,8,272240.97
3072,CPU0,CPU8,8,4322912.56
3072,CPU0,CPU8,8,240280.32
3072,CPU0,CPU8,8,167273.50
3072,CPU0,CPU8,8,301264.04
3072,CPU0,CPU8,8,351103.57
3072,CPU0,CPU8,8,2681384.02
3072,CPU0,CPU8,8,131070.67
3072,CPU0,CPU8,8,1623002.68
3072,CPU8,CPU0,8,179966.14
3072,CPU8,CPU0,8,249827.53
3072,CPU8,CPU0,8,154123.34
3072,CPU8,CPU0,8,13398347.89
3072,CPU8,CPU0,8,252791.40
3072,CPU8,CPU0,8,162222104.87
3072,CPU8,CPU0,8,2186711.88
3072,CPU8,CPU0,8,330998.35
3072,CPU8,CPU0,8,153511.47
3072,CPU8,CPU0,8,13429977.88
3072,CPU8,CPU0,8,635893189.82
3072,CPU8,CPU0,8,223138.03
3072,CPU8,CPU0,8,13366226.78
3072,CPU8,CPU0,8,1076223.76
3072,CPU8,CPU0,8,166612.52
3072,CPU0,CPU8,16,192653.88
3072,CPU0,CPU8,16,167240.04
3072,CPU0,CPU8,16,106217.04
3072,CPU0,CPU8,16,234384.39
3072,CPU0,CPU8,16,185738.78
3072,CPU0,CPU8,16,290199.42
3072,CPU0,CPU8,16,473604.56
3072,CPU0,CPU8,16,1031118.84
3072,CPU0,CPU8,16,234634.69
3072,CPU0,CPU8,16,81760.90
3072,CPU0,CPU8,16,278885.86
3072,CPU0,CPU8,16,112583.81
3072,CPU0,CPU8,16,854316.75
3072,CPU0,CPU8,16,381617.18
3072,CPU0,CPU8,16,170113.49
3072,CPU8,CPU0,16,344293.07
3072,CPU8,CPU0,16,83686.58
3072,CPU8,CPU0,16,138344.85
3072,CPU8,CPU0,16,122988.38
3072,CPU8,CPU0,16,166148.21
3072,CPU8,CPU0,16,96783.68
3072,CPU8,CPU0,16,120666.25
3072,CPU8,CPU0,16,154553.76
3072,CPU8,CPU0,16,71997.06
3072,CPU8,CPU0,16,246924.93
3072,CPU8,CPU0,16,173943.42
3072,CPU8,CPU0,16,163270.42
3072,CPU8,CPU0,16,106060.64
3072,CPU8,CPU0,16,100227.63
3072,CPU8,CPU0,16,140110.36
4096,CPU0,CPU8,1,1393671316.77
4096,CPU0,CPU8,1,1382382720.22
4096,CPU0,CPU8,1,1442253521.13
4096,CPU0,CPU8,1,1461812990.72
4096,CPU0,CPU8,1,1477633477.63
4096,CPU0,CPU8,1,1436185133.24
4096,CPU0,CPU8,1,1439212930.43
4096,CPU0,CPU8,1,1494890510.95
4096,CPU0,CPU8,1,1418773813.65
4096,CPU0,CPU8,1,1425687434.74
4096,CPU0,CPU8,1,1428671084.76
4096,CPU0,CPU8,1,1453513129.88
4096,CPU0,CPU8,1,1497076023.39
4096,CPU0,CPU8,1,1443778639.41
4096,CPU0,CPU8,1,1458170167.32
4096,CPU8,CPU0,1,1405628002.75
4096,CPU8,CPU0,1,1424695652.17
4096,CPU8,CPU0,1,1433671683.58
4096,CPU8,CPU0,1,1419265419.27
4096,CPU8,CPU0,1,1492711370.26
4096,CPU8,CPU0,1,1443269908.39
4096,CPU8,CPU0,1,1455062166.96
4096,CPU8,CPU0,1,1463902787.71
4096,CPU8,CPU0,1,1490538573.51
4096,CPU8,CPU0,1,1439212930.43
4096,CPU8,CPU0,1,1401779603.01
4096,CPU8,CPU0,1,1426680599.09
4096,CPU8,CPU0,1,1418773813.65
4096,CPU8,CPU0,1,1418773813.65
4096,CPU8,CPU0,1,1395570698.47
4096,CPU0,CPU8,2,1284818067.75
4096,CPU0,CPU8,2,1365333333.33
4096,CPU0,CPU8,2,1255286546.12
4096,CPU0,CPU8,2,1375881760.16
4096,CPU0,CPU8,2,1285221211.17
4096,CPU0,CPU8,2,1333333333.33
4096,CPU0,CPU8,2,1346482577.25
4096,CPU0,CPU8,2,1102557200.54
4096,CPU0,CPU8,2,1321290322.58
4096,CPU0,CPU8,2,1465474060.82
4096,CPU0,CPU8,2,1399863294.60
4096,CPU0,CPU8,2,1112741102.96
4096,CPU0,CPU8,2,1401779603.01
4096,CPU0,CPU8,2,1232992173.39
4096,CPU0,CPU8,2,1264978381.72
4096,CPU8,CPU0,2,1200468933.18
4096,CPU8,CPU0,2,1136830419.10
4096,CPU8,CPU0,2,1297023432.55
4096,CPU8,CPU0,2,1286028257.46
4096,CPU8,CPU0,2,1268504180.86
4096,CPU8,CPU0,2,1219410538.85
4096,CPU8,CPU0,2,1329870129.87
4096,CPU8,CPU0,2,1311979500.32
4096,CPU8,CPU0,2,1372194304.86
4096,CPU8,CPU0,2,1364878373.88
4096,CPU8,CPU0,2,1170285714.29
4096,CPU8,CPU0,2,1320864237.34
4096,CPU8,CPU0,2,1205414949.97
4096,CPU8,CPU0,2,1377269670.48
4096,CPU8,CPU0,2,1266542980.83
4096,CPU0,CPU8,4,293851782.77
4096,CPU0,CPU8,4,430840433.36
4096,CPU0,CPU8,4,267537557.15
4096,CPU0,CPU8,4,298020954.60
4096,CPU0,CPU8,4,373995617.24
4096,CPU0,CPU8,4,238194929.05
4096,CPU0,CPU8,4,359613696.22
4096,CPU0,CPU8,4,334667865.02
4096,CPU0,CPU8,4,297825928.89
4096,CPU0,CPU8,4,405946481.67
4096,CPU0,CPU8,4,325363412.50
4096,CPU0,CPU8,4,403109930.12
4096,CPU0,CPU8,4,347648956.03
4096,CPU0,CPU8,4,344317417.62
4096,CPU0,CPU8,4,388725443.67
4096,CPU8,CPU0,4,329286920.17
4096,CPU8,CPU0,4,326869363.98
4096,CPU8,CPU0,4,370075894.47
4096,CPU8,CPU0,4,475670653.81
4096,CPU8,CPU0,4,311625076.08
4096,CPU8,CPU0,4,338037468.02
4096,CPU8,CPU0,4,203994222.82
4096,CPU8,CPU0,4,363668649.56
4096,CPU8,CPU0,4,361518093.56
4096,CPU8,CPU0,4,366926453.46
4096,CPU8,CPU0,4,403546798.03
4096,CPU8,CPU0,4,418001836.92
4096,CPU8,CPU0,4,327968612.38
4096,CPU8,CPU0,4,197874396.14
4096,CPU8,CPU0,4,324307205.07
4096,CPU0,CPU8,8,193850.19
4096,CPU0,CPU8,8,359421.58
4096,CPU0,CPU8,8,395072.13
4096,CPU0,CPU8,8,1460281.83
4096,CPU0,CPU8,8,442196.28
4096,CPU0,CPU8,8,1457269.56
4096,CPU0,CPU8,8,221420.34
4096,CPU0,CPU8,8,193472.53
4096,CPU0,CPU8,8,407133.95
4096,CPU0,CPU8,8,349654.95
4096,CPU0,CPU8,8,475234.05
4096,CPU0,CPU8,8,3779804.25
4096,CPU0,CPU8,8,204759.80
4096,CPU0,CPU8,8,193691.40
4096,CPU0,CPU8,8,52199622.78
4096,CPU8,CPU0,8,227983.72
4096,CPU8,CPU0,8,250687.11
4096,CPU8,CPU0,8,1539067.94
4096,CPU8,CPU0,8,451661.67
4096,CPU8,CPU0,8,1782161.24
4096,CPU8,CPU0,8,222397.53
4096,CPU8,CPU0,8,388922.47
4096,CPU8,CPU0,8,290727.32
4096,CPU8,CPU0,8,212650.58
4096,CPU8,CPU0,8,1414842.93
4096,CPU8,CPU0,8,457084.65
4096,CPU8,CPU0,8,7842446.48
4096,CPU8,CPU0,8,564906.69
4096,CPU8,CPU0,8,394506.91
4096,CPU8,CPU0,8,3414246.64
4096,CPU0,CPU8,16,167743.57
4096,CPU0,CPU8,16,1194803.07
4096,CPU0,CPU8,16,290394.80
4096,CPU0,CPU8,16,1439469.87
4096,CPU0,CPU8,16,1174631.85
4096,CPU0,CPU8,16,7527917.25
4096,CPU0,CPU8,16,455204.68
4096,CPU0,CPU8,16,342451.15
4096,CPU0,CPU8,16,145477.17
4096,CPU0,CPU8,16,993270.45
4096,CPU0,CPU8,16,622152.30
4096,CPU0,CPU8,16,374187.94
4096,CPU0,CPU8,16,1420231.43
4096,CPU0,CPU8,16,302019.35
4096,CPU0,CPU8,16,499278.39
4096,CPU8,CPU0,16,337948.27
4096,CPU8,CPU0,16,191843.31
4096,CPU8,CPU0,16,336957.96
4096,CPU8,CPU0,16,146394.22
4096,CPU8,CPU0,16,245570.25
4096,CPU8,CPU0,16,440663.80
4096,CPU8,CPU0,16,1250443.43
4096,CPU8,CPU0,16,216620.71
4096,CPU8,CPU0,16,229573.84
4096,CPU8,CPU0,16,416727.29
4096,CPU8,CPU0,16,229136.33
4096,CPU8,CPU0,16,373971.27
4096,CPU8,CPU0,16,207748.88
4096,CPU8,CPU0,16,204925.08
4096,CPU8,CPU0,16,216435.84
6144,CPU0,CPU8,1,1542168674.70
6144,CPU0,CPU8,1,1787605469.89
6144,CPU0,CPU8,1,1804405286.34
6144,CPU0,CPU8,1,1782419495.21
6144,CPU0,CPU8,1,1799648506.15
6144,CPU0,CPU8,1,1795441262.42
6144,CPU0,CPU8,1,1815602836.88
6144,CPU0,CPU8,1,1820444444.44
6144,CPU0,CPU8,1,1818289434.74
6144,CPU0,CPU8,1,1840623127.62
6144,CPU0,CPU8,1,1805996472.66
6144,CPU0,CPU8,1,1824769824.77
6144,CPU0,CPU8,1,1845599279.06
6144,CPU0,CPU8,1,1836771300.45
6144,CPU0,CPU8,1,1824769824.77
6144,CPU8,CPU0,1,1681444991.79
6144,CPU8,CPU0,1,1804935370.15
6144,CPU8,CPU0,1,1788646288.21
6144,CPU8,CPU0,1,1841174707.82
6144,CPU8,CPU0,1,1798068481.12
6144,CPU8,CPU0,1,1821523865.99
6144,CPU8,CPU0,1,1807058823.53
6144,CPU8,CPU0,1,1834029850.75
6144,CPU8,CPU0,1,1817213842.06
6144,CPU8,CPU0,1,1791253644.31
6144,CPU8,CPU0,1,1791253644.31
6144,CPU8,CPU0,1,1809720176.73
6144,CPU8,CPU0,1,1826397146.25
6144,CPU8,CPU0,1,1792298716.45
6144,CPU8,CPU0,1,1811854910.06
6144,CPU0,CPU8,2,1761467889.91
6144,CPU0,CPU8,2,1663688058.49
6144,CPU0,CPU8,2,1688375927.45
6144,CPU0,CPU8,2,1699115044.25
6144,CPU0,CPU8,2,1699585062.24
6144,CPU0,CPU8,2,1866909753.87
6144,CPU0,CPU8,2,1741003117.03
6144,CPU0,CPU8,2,1819366301.45
6144,CPU0,CPU8,2,1773160173.16
6144,CPU0,CPU8,2,1716201117.32
6144,CPU0,CPU8,2,1779322328.41
6144,CPU0,CPU8,2,1711420612.81
6144,CPU0,CPU8,2,1801759530.79
6144,CPU0,CPU8,2,1691629955.95
6144,CPU0,CPU8,2,1751924721.98
6144,CPU8,CPU0,2,1699585062.24
6144,CPU8,CPU0,2,1735103078.23
6144,CPU8,CPU0,2,1789167152.01
6144,CPU8,CPU0,2,1691164327.00
6144,CPU8,CPU0,2,1662787550.74
6144,CPU8,CPU0,2,1670019026.91
6144,CPU8,CPU0,2,1824769824.77
6144,CPU8,CPU0,2,1683287671.23
6144,CPU8,CPU0,2,1688840021.99
6144,CPU8,CPU0,2,1455924170.62
6144,CPU8,CPU0,2,1613021790.50
6144,CPU8,CPU0,2,1603340292.28
6144,CPU8,CPU0,2,1814530419.37
6144,CPU8,CPU0,2,1680525164.11
6144,CPU8,CPU0,2,1850045167.12
6144,CPU0,CPU8,4,373950091.30
6144,CPU0,CPU8,4,441664869.53
6144,CPU0,CPU8,4,368499970.01
6144,CPU0,CPU8,4,396412671.79
6144,CPU0,CPU8,4,388001263.02
6144,CPU0,CPU8,4,341827083.57
6144,CPU0,CPU8,4,461226634.64
6144,CPU0,CPU8,4,383640337.18
6144,CPU0,CPU8,4,433378006.63
6144,CPU0,CPU8,4,373336574.10
6144,CPU0,CPU8,4,433530906.01
6144,CPU0,CPU8,4,477092716.26
6144,CPU0,CPU8,4,395163365.06
6144,CPU0,CPU8,4,453632604.84
6144,CPU0,CPU8,4,340765391.01
6144,CPU8,CPU0,4,421920065.93
6144,CPU8,CPU0,4,355349913.24
6144,CPU8,CPU0,4,405732021.40
6144,CPU8,CPU0,4,323249329.19
6144,CPU8,CPU0,4,450505939.29
6144,CPU8,CPU0,4,451997351.58
6144,CPU8,CPU0,4,377697178.34
6144,CPU8,CPU0,4,389156321.26
6144,CPU8,CPU0,4,429590267.10
6144,CPU8,CPU0,4,446349436.98
6144,CPU8,CPU0,4,335169930.72
6144,CPU8,CPU0,4,306724576.91
6144,CPU8,CPU0,4,377025036.82
6144,CPU8,CPU0,4,435127478.75
6144,CPU8,CPU0,4,396387096.77
6144,CPU0,CPU8,8,740691.71
6144,CPU0,CPU8,8,6218787.13
6144,CPU0,CPU8,8,474210.59
6144,CPU0,CPU8,8,2203121.02
6144,CPU0,CPU8,8,3219913.15
6144,CPU0,CPU8,8,684645.60
6144,CPU0,CPU8,8,132094943.24
6144,CPU0,CPU8,8,1825161.74
6144,CPU0,CPU8,8,3233241.77
6144,CPU0,CPU8,8,750336.24
6144,CPU0,CPU8,8,3016024.10
6144,CPU0,CPU8,8,522426.15
6144,CPU0,CPU8,8,734763.70
6144,CPU0,CPU8,8,1859695.87
6144,CPU0,CPU8,8,1688115.22
6144,CPU8,CPU0,8,9736786.64
6144,CPU8,CPU0,8,559354.18
6144,CPU8,CPU0,8,561019.45
6144,CPU8,CPU0,8,517084665.88
6144,CPU8,CPU0,8,1643520.77
6144,CPU8,CPU0,8,661776.87
6144,CPU8,CPU0,8,1724842.19
6144,CPU8,CPU0,8,681506.74
6144,CPU8,CPU0,8,570287.10
6144,CPU8,CPU0,8,794283.74
6144,CPU8,CPU0,8,5983615.18
6144,CPU8,CPU0,8,2003889.06
6144,CPU8,CPU0,8,1019809.09
6144,CPU8,CPU0,8,520638.12
6144,CPU8,CPU0,8,521783.66
6144,CPU0,CPU8,16,229659.41
6144,CPU0,CPU8,16,1420323.20
6144,CPU0,CPU8,16,868764.40
6144,CPU0,CPU8,16,236078.14
6144,CPU0,CPU8,16,250690.27
6144,CPU0,CPU8,16,456495.92
6144,CPU0,CPU8,16,162245.12
6144,CPU0,CPU8,16,187638.20
6144,CPU0,CPU8,16,411610.14
6144,CPU0,CPU8,16,537809.10
6144,CPU0,CPU8,16,236555.92
6144,CPU0,CPU8,16,568741.12
6144,CPU0,CPU8,16,337817.35
6144,CPU0,CPU8,16,337740.17
6144,CPU0,CPU8,16,348403.70
6144,CPU8,CPU0,16,219046.78
6144,CPU8,CPU0,16,518026.11
6144,CPU8,CPU0,16,504948.98
6144,CPU8,CPU0,16,14051072.35
6144,CPU8,CPU0,16,202336.29
6144,CPU8,CPU0,16,371532.08
6144,CPU8,CPU0,16,279995.60
6144,CPU8,CPU0,16,3729087.61
6144,CPU8,CPU0,16,516747.01
6144,CPU8,CPU0,16,4278417.46
6144,CPU8,CPU0,16,340469.49
6144,CPU8,CPU0,16,968688.99
6144,CPU8,CPU0,16,353117.07
6144,CPU8,CPU0,16,106395.43
6144,CPU8,CPU0,16,174335.65
8192,CPU0,CPU8,1,2035279503.11
8192,CPU0,CPU8,1,2053132832.08
8192,CPU0,CPU8,1,2039840637.45
8192,CPU0,CPU8,1,2127792207.79
8192,CPU0,CPU8,1,2078132927.45
8192,CPU0,CPU8,1,2078660238.52
8192,CPU0,CPU8,1,2114064516.13
8192,CPU0,CPU8,1,2094069529.65
8192,CPU0,CPU8,1,2136671883.15
8192,CPU0,CPU8,1,2080772161.54
8192,CPU0,CPU8,1,2118438065.68
8192,CPU0,CPU8,1,2115702479.34
8192,CPU0,CPU8,1,2092999489.01
8192,CPU0,CPU8,1,2089795918.37
8192,CPU0,CPU8,1,2162618796.20
8192,CPU8,CPU0,1,2055708908.41
8192,CPU8,CPU0,1,2066078184.11
8192,CPU8,CPU0,1,2077605883.84
8192,CPU8,CPU0,1,2155222309.92
8192,CPU8,CPU0,1,2138345079.61
8192,CPU8,CPU0,1,2065036551.55
8192,CPU8,CPU0,1,2089795918.37
8192,CPU8,CPU0,1,2101051551.68
8192,CPU8,CPU0,1,2048000000.00
8192,CPU8,CPU0,1,2082888380.37
8192,CPU8,CPU0,1,2062956434.15
8192,CPU8,CPU0,1,2035785288.27
8192,CPU8,CPU0,1,2097286226.32
8192,CPU8,CPU0,1,2164332893.00
8192,CPU8,CPU0,1,2087665647.30
8192,CPU0,CPU8,2,2146750524.11
8192,CPU0,CPU8,2,1982095330.27
8192,CPU0,CPU8,2,2208681585.33
8192,CPU0,CPU8,2,2107537947.00
8192,CPU0,CPU8,2,2094069529.65
8192,CPU0,CPU8,2,2101590559.26
8192,CPU0,CPU8,2,2042383445.52
8192,CPU0,CPU8,2,2201558720.77
8192,CPU0,CPU8,2,2158629776.02
8192,CPU0,CPU8,2,2159767993.67
8192,CPU0,CPU8,2,2074449227.65
8192,CPU0,CPU8,2,2104830421.38
8192,CPU0,CPU8,2,2225482205.92
8192,CPU0,CPU8,2,2121730121.73
8192,CPU0,CPU8,2,2283166109.25
8192,CPU8,CPU0,2,2018728437.65
8192,CPU8,CPU0,2,2040348692.40
8192,CPU8,CPU0,2,1989798396.89
8192,CPU8,CPU0,2,1998536228.35
8192,CPU8,CPU0,2,2030235439.90
8192,CPU8,CPU0,2,1788646288.21
8192,CPU8,CPU0,2,2000488400.49
8192,CPU8,CPU0,2,2010800196.37
8192,CPU8,CPU0,2,1928436911.49
8192,CPU8,CPU0,2,2115702479.34
8192,CPU8,CPU0,2,2131667967.73
8192,CPU8,CPU0,2,2048000000.00
8192,CPU8,CPU0,2,1936643026.00
8192,CPU8,CPU0,2,2114064516.13
8192,CPU8,CPU0,2,1956999522.22
8192,CPU0,CPU8,4,474650906.77
8192,CPU0,CPU8,4,512288162.09
8192,CPU0,CPU8,4,495793742.06
